uid,createDate,startTime,endTime,cpu_num,mem,gpu_num,worker_num
9b939fbd-1ca2-46f8-be6b-390259c37c1d,1728305008,1728305010,1728305483,64m,448Mi,8,1
9b939fbd-1ca2-46f8-be6b-390259c37c1d,1728305008,1728305010,1728305483,64m,448Mi,8,1
9b939fbd-1ca2-46f8-be6b-390259c37c1d,1728305008,1728305010,1728305483,64m,448Mi,8,1
fea4bd6e-0dc7-4d4f-bda8-7e22a813b093,1728305473,1728305478,1728305484,64m,896Mi,8,1
fea4bd6e-0dc7-4d4f-bda8-7e22a813b093,1728305473,1728305478,1728305484,64m,896Mi,8,1
fea4bd6e-0dc7-4d4f-bda8-7e22a813b093,1728305473,1728305478,1728305484,64m,896Mi,8,1
da5afddf-8368-43c7-9803-c36408a5efaa,1728305478,1728305481,1728305485,64m,448Mi,8,4
da5afddf-8368-43c7-9803-c36408a5efaa,1728305478,1728305481,1728305485,64m,448Mi,8,4
da5afddf-8368-43c7-9803-c36408a5efaa,1728305478,1728305481,1728305485,64m,448Mi,8,4
b536317b-4ad3-418e-8eb8-14935e62038a,1728305197,1728305198,1728305496,32m,320Mi,4,1
b536317b-4ad3-418e-8eb8-14935e62038a,1728305197,1728305198,1728305496,32m,320Mi,4,1
b536317b-4ad3-418e-8eb8-14935e62038a,1728305197,1728305198,1728305496,32m,320Mi,4,1
064bebf8-5330-471d-9c36-650e024024d4,1728305134,1728305137,1728305498,32m,320Mi,4,1
064bebf8-5330-471d-9c36-650e024024d4,1728305134,1728305137,1728305498,32m,320Mi,4,1
064bebf8-5330-471d-9c36-650e024024d4,1728305134,1728305137,1728305498,32m,320Mi,4,1
43152577-f9fc-4621-9f50-ef6df8c8eedf,1728305022,1728305025,1728305504,64m,448Mi,8,1
43152577-f9fc-4621-9f50-ef6df8c8eedf,1728305022,1728305025,1728305504,64m,448Mi,8,1
43152577-f9fc-4621-9f50-ef6df8c8eedf,1728305022,1728305025,1728305504,64m,448Mi,8,1
09f68f2f-e278-4fc1-81cd-5d66dfb5e49b,1728305502,1728305505,1728305509,64m,448Mi,8,1
09f68f2f-e278-4fc1-81cd-5d66dfb5e49b,1728305502,1728305505,1728305509,64m,448Mi,8,1
09f68f2f-e278-4fc1-81cd-5d66dfb5e49b,1728305502,1728305505,1728305509,64m,448Mi,8,1
